id,ResponseId,PANAS_01: panas,PANAS_02: panas,PANAS_03: panas,PANAS_04: panas,PANAS_05: panas,PANAS_06: panas,PANAS_07: panas,PANAS_08: panas,PANAS_09: panas,PANAS_10: panas,PANAS_11: panas,PANAS_12: panas,PANAS_13: panas,PANAS_14: panas,PANAS_15: panas,PANAS_16: panas,PANAS_17: panas,PANAS_18: panas,PANAS_19: panas,PANAS_20: panas,MCSD_01: mcsd,MCSD_02: mcsd,MCSD_03: mcsd,MCSD_04: mcsd,MCSD_05: mcsd,MCSD_06: mcsd,MCSD_07: mcsd,MCSD_08: mcsd,MCSD_09: mcsd,MCSD_10: mcsd,MCSD_11: mcsd,MCSD_12: mcsd,MCSD_13: mcsd,panas_score,mcsd_score
StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,PANAS_01,PANAS_02,PANAS_03,PANAS_04,PANAS_05,PANAS_06,PANAS_07,PANAS_08,PANAS_09,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,MCSD_01,MCSD_02,MCSD_03,MCSD_04,MCSD_05,MCSD_06,MCSD_07,MCSD_08,MCSD_09,MCSD_10,MCSD_11,MCSD_12,MCSD_13,id,id - Topics
7180,R_3Jr4eeQy43NsXlH,2,1,1,5,2,4,3,5,2,2,5,3,4,1,2,2,3,3,1,3,2,2,2,2,1,2,1,2,1,1,1,2,1,2.7,1.54
8538,R_3CnYliJjnZ0TwNr,2,2,2,4,1,1,2,4,1,2,3,3,3,3,2,2,3,3,3,4,1,1,2,2,2,2,2,2,2,2,1,1,2,2.5,1.69
6593,R_1jEdICMhqDp6Vho,1,3,1,1,3,1,2,4,1,5,3,1,1,1,1,3,2,3,4,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2.1,1.38
1572,R_bwMsPV70ucBjLEZ,2,3,4,4,4,2,4,4,4,5,3,4,4,3,4,3,5,3,5,4,1,1,1,2,1,1,1,1,2,2,2,1,2,3.7,1.38
2754,R_aWfTNJpKFxvpFLj,1,2,1,2,5,1,1,1,5,1,1,5,1,5,1,2,3,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2.1,1.62
3991,R_1CkmtwiE9GrExAE,3,1,4,1,5,1,1,2,3,5,2,1,2,4,1,5,4,3,3,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2.6,1.38
2559,R_2cwS69HlvwSr8vn,2,5,3,5,4,5,4,5,3,4,2,2,5,3,5,1,1,5,4,4,2,1,2,1,2,2,1,2,1,1,1,2,1,3.6,1.46
3216,R_1LAQXQxq3x9arn6,1,4,3,4,3,4,4,3,3,3,2,3,5,2,4,2,2,4,3,4,1,1,1,2,1,1,2,2,2,2,2,2,1,3.15,1.54
9634,R_3qxiPWrksMtq8WA,2,4,3,4,2,2,3,5,2,4,2,3,5,3,2,3,3,3,3,4,1,1,1,2,1,2,1,1,1,2,1,1,2,3.1,1.31
4764,R_ePZ4XWYYE34bE0V,2,2,3,4,3,2,4,4,2,4,4,3,3,3,2,2,3,3,3,4,1,1,1,2,1,2,1,2,2,2,1,1,2,3,1.46
